Author(s) ID,PublicationEID
57854228100,2-s2.0-85149526441
 57195380902,2-s2.0-85149526441
 6604032258,2-s2.0-85149526441
57224167480,2-s2.0-85166669863
 57195280942,2-s2.0-85166669863
 57194172473,2-s2.0-85166669863
 58337081800,2-s2.0-85166669863
 55993691300,2-s2.0-85166669863
58064617800,2-s2.0-85146217954
 58064617900,2-s2.0-85146217954
 58064028800,2-s2.0-85146217954
 58064148500,2-s2.0-85146217954
 58064618000,2-s2.0-85146217954
 58064849100,2-s2.0-85146217954
 58064733900,2-s2.0-85146217954
 57194512045,2-s2.0-85146217954
37079139000,2-s2.0-85153955127
 57188807549,2-s2.0-85153955127
57723956200,2-s2.0-85161634586
 57211227384,2-s2.0-85161634586
 57204005816,2-s2.0-85161634586
23566893300,2-s2.0-85166524703
 55639463300,2-s2.0-85166524703
 7006024277,2-s2.0-85166524703
57202989328,2-s2.0-85166300563
 57200767463,2-s2.0-85166300563
57205340505,2-s2.0-85168428647
57208426515,2-s2.0-85158834715
 58117514300,2-s2.0-85158834715
 57194167174,2-s2.0-85158834715
 57997407300,2-s2.0-85158834715
 57217250996,2-s2.0-85158834715
56820075100,2-s2.0-85171356747
 57205364543,2-s2.0-85171356747
 7003467090,2-s2.0-85171356747
 57221709710,2-s2.0-85171356747
57202713977,2-s2.0-85171627016
 58605035900,2-s2.0-85171627016
 9272686000,2-s2.0-85171627016
 58605036000,2-s2.0-85171627016
 57189233670,2-s2.0-85171627016
 57966473500,2-s2.0-85171627016
57709226800,2-s2.0-85161275936
 57972234700,2-s2.0-85161275936
 57197850419,2-s2.0-85161275936
 26656850400,2-s2.0-85161275936
57223887816,2-s2.0-85153797311
 35558866700,2-s2.0-85153797311
57194174823,2-s2.0-85170631780
 6701675013,2-s2.0-85170631780
 16033282700,2-s2.0-85170631780
 57211515748,2-s2.0-85170631780
 35606972800,2-s2.0-85170631780
 55359725600,2-s2.0-85170631780
57848934500,2-s2.0-85150044366
 54903214500,2-s2.0-85150044366
 57213805178,2-s2.0-85150044366
 57872021800,2-s2.0-85150044366
 57848483600,2-s2.0-85150044366
 22941707200,2-s2.0-85150044366
55311615800,2-s2.0-85145957694
 57188630060,2-s2.0-85145957694
 57226414863,2-s2.0-85145957694
 57192577481,2-s2.0-85145957694
 57214584636,2-s2.0-85145957694
 36831483600,2-s2.0-85145957694
 56457158200,2-s2.0-85145957694
 58517206400,2-s2.0-85145957694
 58054630000,2-s2.0-85145957694
 57221864594,2-s2.0-85145957694
 7201989737,2-s2.0-85145957694
 22233335900,2-s2.0-85145957694
57212536728,2-s2.0-85169449546
 57211925655,2-s2.0-85169449546
 22433620800,2-s2.0-85169449546
 57465326100,2-s2.0-85169449546
52463538400,2-s2.0-85162172580
 57972077700,2-s2.0-85162172580
 7402091831,2-s2.0-85162172580
58618425000,2-s2.0-85172242561
 58616516400,2-s2.0-85172242561
 6603467484,2-s2.0-85172242561
 6602501750,2-s2.0-85172242561
 6603515461,2-s2.0-85172242561
57208178336,2-s2.0-85169578452
 57221689784,2-s2.0-85169578452
 57373014100,2-s2.0-85169578452
 57008876100,2-s2.0-85169578452
 16686295200,2-s2.0-85169578452
 9734725300,2-s2.0-85169578452
57224997706,2-s2.0-85163405247
 58394414500,2-s2.0-85163405247
 58399098700,2-s2.0-85163405247
 35779540500,2-s2.0-85163405247
 7202190040,2-s2.0-85163405247
57205082818,2-s2.0-85170577935
 57219453116,2-s2.0-85170577935
 58084911400,2-s2.0-85170577935
 57800402000,2-s2.0-85170577935
 24476445300,2-s2.0-85170577935
 14325302600,2-s2.0-85170577935
 58085391900,2-s2.0-85170577935
 57204472440,2-s2.0-85170577935
 57191264224,2-s2.0-85170577935
 57207797557,2-s2.0-85170577935
 7103090557,2-s2.0-85170577935
 46461386000,2-s2.0-85170577935
 55586639800,2-s2.0-85170577935
 24473664500,2-s2.0-85170577935
 57207734125,2-s2.0-85170577935
 6601983130,2-s2.0-85170577935
57191200171,2-s2.0-85172210276
 7403139687,2-s2.0-85172210276
57142026400,2-s2.0-85153057441
 22951891100,2-s2.0-85153057441
57192379907,2-s2.0-85171617109
 15019638800,2-s2.0-85171617109
 55037367100,2-s2.0-85171617109
 55881719600,2-s2.0-85171617109
 55432888400,2-s2.0-85171617109
42960932600,2-s2.0-85168579585
57783214100,2-s2.0-85166512503
 56699518000,2-s2.0-85166512503
 57204801718,2-s2.0-85166512503
 26435030200,2-s2.0-85166512503
57193233677,2-s2.0-85153775814
 57221474484,2-s2.0-85153775814
57806792800,2-s2.0-85156246184
 24479097100,2-s2.0-85156246184
 58222241900,2-s2.0-85156246184
 57207688352,2-s2.0-85156246184
57196235781,2-s2.0-85147701068
 57771304500,2-s2.0-85147701068
 57195628473,2-s2.0-85147701068
 57216370730,2-s2.0-85147701068
 57771353300,2-s2.0-85147701068
 57771251600,2-s2.0-85147701068
 55463888300,2-s2.0-85147701068
 7006338489,2-s2.0-85147701068
 16432483300,2-s2.0-85147701068
 55984245100,2-s2.0-85147701068
57611509100,2-s2.0-85169569144
 57204694898,2-s2.0-85169569144
 57898983100,2-s2.0-85169569144
 57881566200,2-s2.0-85169569144
 57204394712,2-s2.0-85169569144
 7201472755,2-s2.0-85169569144
 55618837400,2-s2.0-85169569144
 25226030800,2-s2.0-85169569144
7202560690,2-s2.0-85171991687
 57209310780,2-s2.0-85171991687
 57200315665,2-s2.0-85171991687
 55498233200,2-s2.0-85171991687
 57194276330,2-s2.0-85171991687
55328182100,2-s2.0-85165670899
 57213189504,2-s2.0-85165670899
 6603479113,2-s2.0-85165670899
 7007127326,2-s2.0-85165670899
57902920000,2-s2.0-85160424523
 58174803200,2-s2.0-85160424523
 26643081000,2-s2.0-85160424523
 57222998838,2-s2.0-85160424523
 58292388900,2-s2.0-85160424523
 58292538400,2-s2.0-85160424523
 56511550000,2-s2.0-85160424523
57208648552,2-s2.0-85153067379
 57201639065,2-s2.0-85153067379
 55535556700,2-s2.0-85153067379
58187798000,2-s2.0-85171747592
 58609698000,2-s2.0-85171747592
 57221761294,2-s2.0-85171747592
57222168300,2-s2.0-85168759383
 55675662400,2-s2.0-85168759383
 15051651600,2-s2.0-85168759383
55603121100,2-s2.0-85150257572
 58145753500,2-s2.0-85150257572
 57204106768,2-s2.0-85150257572
 57642291800,2-s2.0-85150257572
 58145556300,2-s2.0-85150257572
 58145753600,2-s2.0-85150257572
 57192040316,2-s2.0-85150257572
55205999000,2-s2.0-85170074577
 12141109100,2-s2.0-85170074577
 57203029074,2-s2.0-85170074577
 36117347100,2-s2.0-85170074577
 57744147800,2-s2.0-85170074577
 57193097690,2-s2.0-85170074577
 57195804794,2-s2.0-85170074577
58248623000,2-s2.0-85159374757
 57201639864,2-s2.0-85159374757
 17136223900,2-s2.0-85159374757
55602536800,2-s2.0-85167330656
 55361698700,2-s2.0-85167330656
 7004110215,2-s2.0-85167330656
 56256548700,2-s2.0-85167330656
 6602577911,2-s2.0-85167330656
 56208960500,2-s2.0-85167330656
 6506356347,2-s2.0-85167330656
 58527803500,2-s2.0-85167330656
 6506598388,2-s2.0-85167330656
 55602960800,2-s2.0-85167330656
 6701498785,2-s2.0-85167330656
57751900300,2-s2.0-85171436865
 57216386064,2-s2.0-85171436865
 24724747600,2-s2.0-85171436865
55968706700,2-s2.0-85166577982
 57220658538,2-s2.0-85166577982
 8729349300,2-s2.0-85166577982
56288039900,2-s2.0-85146815956
 58077196300,2-s2.0-85146815956
 7005402309,2-s2.0-85146815956
 7407148134,2-s2.0-85146815956
57194756598,2-s2.0-85148415559
 6602367398,2-s2.0-85148415559
57557983900,2-s2.0-85150784030
 57557461600,2-s2.0-85150784030
 57558497000,2-s2.0-85150784030
 57195509911,2-s2.0-85150784030
57212941301,2-s2.0-85161446358
 58067132000,2-s2.0-85161446358
 23090052400,2-s2.0-85161446358
 7101898098,2-s2.0-85161446358
7004736801,2-s2.0-85166914338
 58194965600,2-s2.0-85166914338
 58195066400,2-s2.0-85166914338
 56461250900,2-s2.0-85166914338
 10240403500,2-s2.0-85166914338
 58583880500,2-s2.0-85166914338
 35614959800,2-s2.0-85166914338
 7005522450,2-s2.0-85166914338
 6504634622,2-s2.0-85166914338
 57202660018,2-s2.0-85166914338
 57194785841,2-s2.0-85166914338
 7404884741,2-s2.0-85166914338
 36466122600,2-s2.0-85166914338
 22949732800,2-s2.0-85166914338
 7103240379,2-s2.0-85166914338
 57743000100,2-s2.0-85166914338
 7003592275,2-s2.0-85166914338
 6701557179,2-s2.0-85166914338
 6602230534,2-s2.0-85166914338
 23389210100,2-s2.0-85166914338
 57220166971,2-s2.0-85166914338
 57223766712,2-s2.0-85166914338
 57746011400,2-s2.0-85166914338
 7404494323,2-s2.0-85166914338
 35872525800,2-s2.0-85166914338
 27867745700,2-s2.0-85166914338
 56407096900,2-s2.0-85166914338
 57195322173,2-s2.0-85166914338
 6507800333,2-s2.0-85166914338
 7005388617,2-s2.0-85166914338
 57746009700,2-s2.0-85166914338
 57441687000,2-s2.0-85166914338
 57212404681,2-s2.0-85166914338
 36903684100,2-s2.0-85166914338
 6602206677,2-s2.0-85166914338
 55336272400,2-s2.0-85166914338
 56208581800,2-s2.0-85166914338
 57203919652,2-s2.0-85166914338
 55888684400,2-s2.0-85166914338
 58194939900,2-s2.0-85166914338
 6504313281,2-s2.0-85166914338
 23398181800,2-s2.0-85166914338
 55062058300,2-s2.0-85166914338
 55887969100,2-s2.0-85166914338
 35746344400,2-s2.0-85166914338
 55879229400,2-s2.0-85166914338
 8248071100,2-s2.0-85166914338
 57212063641,2-s2.0-85166914338
 18434650900,2-s2.0-85166914338
 55887595400,2-s2.0-85166914338
 8714509100,2-s2.0-85166914338
 56321772300,2-s2.0-85166914338
 56242157800,2-s2.0-85166914338
 55667120700,2-s2.0-85166914338
 23006109400,2-s2.0-85166914338
 6603307034,2-s2.0-85166914338
 57191694395,2-s2.0-85166914338
 57208825323,2-s2.0-85166914338
 6603995438,2-s2.0-85166914338
 57196450973,2-s2.0-85166914338
 6506958574,2-s2.0-85166914338
 56461552700,2-s2.0-85166914338
 23101090600,2-s2.0-85166914338
 56732895200,2-s2.0-85166914338
 26424738700,2-s2.0-85166914338
 57193554372,2-s2.0-85166914338
 57221746249,2-s2.0-85166914338
 35590678200,2-s2.0-85166914338
 7004124496,2-s2.0-85166914338
 7006431708,2-s2.0-85166914338
 25930622500,2-s2.0-85166914338
 7006361569,2-s2.0-85166914338
 36544650700,2-s2.0-85166914338
 57237142600,2-s2.0-85166914338
 58248277000,2-s2.0-85166914338
 57219777095,2-s2.0-85166914338
 57222179388,2-s2.0-85166914338
 57226220661,2-s2.0-85166914338
55292713100,2-s2.0-85163567760
 57223087200,2-s2.0-85163567760
 58401203400,2-s2.0-85163567760
 57219248064,2-s2.0-85163567760
 57204818753,2-s2.0-85163567760
 23394060600,2-s2.0-85163567760
 55293897900,2-s2.0-85163567760
 7006126016,2-s2.0-85163567760
 56872218200,2-s2.0-85163567760
57221142442,2-s2.0-85153498138
 57212902068,2-s2.0-85153498138
57216815074,2-s2.0-85158996440
 57224688117,2-s2.0-85158996440
 57201310436,2-s2.0-85158996440
 58244577000,2-s2.0-85158996440
 58244420200,2-s2.0-85158996440
 17343887100,2-s2.0-85158996440
57225982451,2-s2.0-85170384403
 57331066600,2-s2.0-85170384403
 55962296500,2-s2.0-85170384403
 35318545700,2-s2.0-85170384403
 55370873500,2-s2.0-85170384403
 9743752700,2-s2.0-85170384403
 55924132000,2-s2.0-85170384403
58432340200,2-s2.0-85171886446
 58611570900,2-s2.0-85171886446
 57879538000,2-s2.0-85171886446
 57203463163,2-s2.0-85171886446
 57205030115,2-s2.0-85171886446
 57224894792,2-s2.0-85171886446
 57218117867,2-s2.0-85171886446
 36915256000,2-s2.0-85171886446
 18038920500,2-s2.0-85171886446
 7201771942,2-s2.0-85171886446
 58612367300,2-s2.0-85171886446
 55246055500,2-s2.0-85171886446
57203863908,2-s2.0-85169828210
 14034426100,2-s2.0-85169828210
12240974800,2-s2.0-85150171432
 26665680900,2-s2.0-85150171432
58031990600,2-s2.0-85164360129
 57199844620,2-s2.0-85164360129
57213192156,2-s2.0-85169901768
 58549071300,2-s2.0-85169901768
 58349514700,2-s2.0-85169901768
 57210206229,2-s2.0-85169901768
 58564484000,2-s2.0-85169901768
57453750100,2-s2.0-85136465846
 57226526360,2-s2.0-85136465846
 57453968000,2-s2.0-85136465846
 55546911700,2-s2.0-85136465846
 36170241800,2-s2.0-85136465846
57184363700,2-s2.0-85151793633
 42961793000,2-s2.0-85151793633
 57210666401,2-s2.0-85151793633
 56000594700,2-s2.0-85151793633
 35109901800,2-s2.0-85151793633
56178288800,2-s2.0-85172278317
 24465044800,2-s2.0-85172278317
 55863395500,2-s2.0-85172278317
57218594392,2-s2.0-85163337429
 57202223391,2-s2.0-85163337429
 57190393366,2-s2.0-85163337429
 57201392071,2-s2.0-85163337429
 57219532724,2-s2.0-85163337429
 7408469729,2-s2.0-85163337429
 56862489400,2-s2.0-85163337429
57225889158,2-s2.0-85150839980
 55558009000,2-s2.0-85150839980
 57226838102,2-s2.0-85150839980
 7004506474,2-s2.0-85150839980
 23094983500,2-s2.0-85150839980
 6603458099,2-s2.0-85150839980
 7101859155,2-s2.0-85150839980
 8232501700,2-s2.0-85150839980
 56080050200,2-s2.0-85150839980
57962240300,2-s2.0-85169108910
 56020972100,2-s2.0-85169108910
 7201509150,2-s2.0-85169108910
 57188921458,2-s2.0-85169108910
 7006775204,2-s2.0-85169108910
7401840755,2-s2.0-85166442433
 57222155204,2-s2.0-85166442433
 8675822100,2-s2.0-85166442433
57221709578,2-s2.0-85168306414
 58252027500,2-s2.0-85168306414
 58563267400,2-s2.0-85168306414
 58076474600,2-s2.0-85168306414
 58251599200,2-s2.0-85168306414
 22982237700,2-s2.0-85168306414
 26642210200,2-s2.0-85168306414
 26640261400,2-s2.0-85168306414
7101867655,2-s2.0-85168488857
 18036450400,2-s2.0-85168488857
 6701355570,2-s2.0-85168488857
 7003552264,2-s2.0-85168488857
 58559885100,2-s2.0-85168488857
 57212503031,2-s2.0-85168488857
 7004171845,2-s2.0-85168488857
 57207692816,2-s2.0-85168488857
 23005865500,2-s2.0-85168488857
 7103155438,2-s2.0-85168488857
 12545068000,2-s2.0-85168488857
 7003438436,2-s2.0-85168488857
 58084596300,2-s2.0-85168488857
 25621227200,2-s2.0-85168488857
 55608634800,2-s2.0-85168488857
57224647378,2-s2.0-85172106920
 6507307858,2-s2.0-85172106920
 58416525700,2-s2.0-85172106920
55944832200,2-s2.0-85149715129
 57225064196,2-s2.0-85149715129
 57216768705,2-s2.0-85149715129
 57783985100,2-s2.0-85149715129
 14631098900,2-s2.0-85149715129
55912123700,2-s2.0-85152278129
 57207267919,2-s2.0-85152278129
 57100856000,2-s2.0-85152278129
 57734416400,2-s2.0-85152278129
 57812525900,2-s2.0-85152278129
 18634245300,2-s2.0-85152278129
 6603050228,2-s2.0-85152278129
57209656721,2-s2.0-85153701420
 36680680100,2-s2.0-85153701420
57222261388,2-s2.0-85163169494
 57207301887,2-s2.0-85163169494
 7003897194,2-s2.0-85163169494
 56374279300,2-s2.0-85163169494
55921348200,2-s2.0-85171554686
7004041016,2-s2.0-85165327578
 57050524300,2-s2.0-85165327578
 6601993691,2-s2.0-85165327578
 7005447735,2-s2.0-85165327578
 22958707400,2-s2.0-85165327578
57188802223,2-s2.0-85161525328
 58000545000,2-s2.0-85161525328
 35796556100,2-s2.0-85161525328
 55934982700,2-s2.0-85161525328
 6602290466,2-s2.0-85161525328
 20735095600,2-s2.0-85161525328
19639377300,2-s2.0-85163002789
57195488098,2-s2.0-85148456252
 58109397800,2-s2.0-85148456252
 57203175803,2-s2.0-85148456252
 8670585300,2-s2.0-85148456252
 57205746754,2-s2.0-85148456252
 8605233900,2-s2.0-85148456252
 7006254686,2-s2.0-85148456252
 36016440000,2-s2.0-85148456252
 35227294400,2-s2.0-85148456252
 12781560000,2-s2.0-85148456252
 38861533700,2-s2.0-85148456252
 6603114322,2-s2.0-85148456252
 57208118316,2-s2.0-85148456252
 56262842000,2-s2.0-85148456252
 57211791588,2-s2.0-85148456252
 7202222880,2-s2.0-85148456252
 24758923500,2-s2.0-85148456252
 8546457000,2-s2.0-85148456252
 57202557624,2-s2.0-85148456252
 55803484600,2-s2.0-85148456252
